ann_term	sum	annotation
PF10315	4	Altered inheritance of mitochondria protein 19
PF10316	132	Serpentine type 7TM GPCR chemoreceptor Srbc
PF10317	127	Serpentine type 7TM GPCR chemoreceptor Srd
PF10318	414	Serpentine type 7TM GPCR chemoreceptor Srh
PF10319	80	Serpentine type 7TM GPCR chemoreceptor Srj
PF10320	88	Serpentine type 7TM GPCR chemoreceptor Srsx
PF10321	111	Serpentine type 7TM GPCR chemoreceptor Srt
PF10322	81	Serpentine type 7TM GPCR chemoreceptor Sru
PF10323	67	Serpentine type 7TM GPCR chemoreceptor Srv
PF10324	319	Serpentine type 7TM GPCR chemoreceptor Srw
PF10325	122	Serpentine type 7TM GPCR chemoreceptor Srz
PF10326	469	Serpentine type 7TM GPCR chemoreceptor Str
PF10327	132	Serpentine type 7TM GPCR chemoreceptor Sri
PF10328	251	Serpentine type 7TM GPCR chemoreceptor Srx
PF10329	6	Region of unknown function (DUF2417)
PF10330	5	Putative Sin3 binding protein
PF10332	8	Protein of unknown function (DUF2418)
PF10333	4	GPI-Mannosyltransferase II co-activator
PF10334	8	Aromatic acid exporter family member 2
PF10335	3	Putative nucleotidyltransferase substrate binding domain
PF10336	4	Protein of unknown function (DUF2420)
PF10337	13	Putative ER transporter, 6TM, N-terminal
PF10338	9	Protein of unknown function (DUF2423)
PF10339	5	Yeast-specific zinc responsive
PF10340	5	Steryl acetyl hydrolase
PF10341	20	Shelterin complex subunit, TPP1/ACD
PF10342	21	Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family
PF10343	51	Potential Queuosine, Q, salvage protein family
PF10344	22	Mitochondrial protein from FMP27
PF10345	36	Cohesin loading factor
PF10346	17	Conidiation protein 6
PF10347	35	RNA pol II promoter Fmp27 protein domain
PF10348	10	Domain of unknown function (DUF2427)
PF10350	59	Putative death-receptor fusion protein (DUF2428)
PF10351	57	Golgi-body localisation protein domain
PF10353	3	Protein of unknown function (DUF2430)
PF10354	99	Domain of unknown function (DUF2431)
PF10355	12	Protein of unknown function (Ytp1)
PF10356	10	Protein of unknown function (DUF2034)
PF10357	49	Domain of Kin17 curved DNA-binding protein
PF10358	141	N-terminal C2 in EEIG1 and EHBP1 proteins
PF10359	9	RNA pol II promoter Fmp27 protein domain
PF10360	4	Protein of unknown function (DUF2433)
PF10361	2	Protein of unknown function (DUF2434)
PF10363	37	Required for nuclear transport of RNA pol II C-terminus 1
PF10366	73	Vacuolar sorting protein 39 domain 1
PF10367	87	Vacuolar sorting protein 39 domain 2
PF10368	1	Putative cell-wall binding lipoprotein
PF10369	37	Small subunit of acetolactate synthase
PF10371	3	Domain of unknown function
PF10373	110	Est1 DNA/RNA binding domain
PF10374	85	Telomerase activating protein Est1
PF10375	6	GRIP-related Arf-binding domain
PF10376	26	Double-strand recombination repair protein
PF10377	46	Autophagy-related protein 11
PF10378	4	Putative RRM domain
PF10380	4	Transcription factor CRF1
PF10381	44	Autophagocytosis associated protein C-terminal
PF10382	36	Protein of unknown function (DUF2439)
PF10383	4	Transcription-silencing protein Clr2
PF10384	12	Centromere protein Scm3
PF10385	1	RNA polymerase beta subunit external 1 domain
PF10390	60	RNA polymerase II elongation factor ELL
PF10391	83	Fingers domain of DNA polymerase lambda
PF10392	41	Golgi transport complex subunit 5
PF10393	46	Trimeric coiled-coil oligomerisation domain of matrilin
PF10394	46	Histone acetyl transferase HAT1 N-terminus
PF10395	3	Utp8 family
PF10396	43	GTP-binding protein TrmE N-terminus
PF10397	36	Adenylosuccinate lyase C-terminus
PF10401	114	Interferon-regulatory factor 3
PF10403	52	Rad4 beta-hairpin domain 1
PF10404	37	Rad4 beta-hairpin domain 2
PF10405	51	Rad4 beta-hairpin domain 3
PF10406	46	Transcription factor TFIID complex subunit 8 C-term
PF10407	7	Cdc14 phosphatase binding protein N-terminus
PF10408	81	Ubiquitin elongating factor core
PF10409	184	C2 domain of PTEN tumour-suppressor protein
PF10410	1	DnaB-helicase binding domain of primase
PF10413	25	Amino terminal of the G-protein receptor rhodopsin
PF10415	53	Fumarase C C-terminus
PF10417	178	C-terminal domain of 1-Cys peroxiredoxin
PF10419	47	TFIIIC subunit triple barrel domain
PF10420	15	Cytokine interleukin-12p40 C-terminus
PF10421	88	2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus
PF10422	3	Monopolin complex subunit LRS4
PF10426	9	Recombination-activating protein 1 zinc-finger domain
PF10427	31	Argonaute hook
PF10428	9	RAM signalling pathway protein
PF10429	3	Nuclear pore RNA shuttling protein Mtr2
PF10430	10	Tie-2 Ig-like domain 1
PF10431	181	C-terminal, D2-small domain, of ClpB protein
PF10433	145	Mono-functional DNA-alkylating methyl methanesulfonate N-term
PF10434	2	Monopolin complex protein MAM1
PF10435	5	Beta-galactosidase, domain 2
PF10436	134	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
PF10437	1	Bacterial lipoate protein ligase C-terminus
PF10440	27	Ubiquitin-binding WIYLD domain
PF10441	39	Urb2/Npa2 family
PF10442	25	FIST C domain
PF10443	11	RNA12 protein
PF10444	38	Nbl1 / Borealin N terminal
PF10445	3	Protein of unknown function (DUF2456)
PF10446	3	Protein of unknown function (DUF2457)
PF10447	42	Exosome component EXOSC1/CSL4
PF10448	4	20S proteasome chaperone assembly proteins 3 and 4
PF10450	2	POC1 chaperone
PF10451	14	Telomere regulation protein Stn1
PF10452	6	TORC1 subunit TCO89
PF10453	40	Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)
PF10454	2	Protein of unknown function (DUF2458)
PF10455	8	Bin/amphiphysin/Rvs domain for vesicular trafficking
PF10456	58	WASP-binding domain of Sorting nexin protein
PF10457	46	Cholesterol-capturing domain
PF10458	20	Valyl tRNA synthetase tRNA binding arm
PF10461	12	Peptidase S68
PF10462	6	Peptidase M66
PF10466	1	Saccharopepsin inhibitor I34
PF10469	83	AKAP7 2'5' RNA ligase-like domain
PF10470	13	PKA-RI-RII subunit binding domain of A-kinase anchor protein
PF10471	21	Anaphase-promoting complex APC subunit CDC26
PF10472	7	eIF2-alpha phosphatase phosphorylation constitutive repressor
PF10473	30	Leucine-rich repeats of kinetochore protein Cenp-F/LEK1
PF10474	44	Protein of unknown function C-terminus (DUF2451)
PF10475	74	Vacuolar-sorting protein 54, of GARP complex
PF10476	12	Protein of unknown function C-terminus (DUF2448)
PF10477	29	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E
PF10479	54	Fragile site-associated protein C-terminus
PF10480	22	Beta-1 integrin binding protein
PF10481	20	Cenp-F N-terminal domain
PF10482	25	Tumour-suppressor protein CtIP N-terminal domain
PF10483	53	Elongator subunit Iki1
PF10484	26	Mitochondrial ribosomal protein S23
PF10486	50	Phosphoinositide 3-kinase gamma adapter protein p101 subunit
PF10487	50	Nucleoporin subcomplex protein binding to Pom34
PF10488	33	Phosphatase-1 catalytic subunit binding region
PF10490	15	Rb-binding domain of kinetochore protein Cenp-F/LEK1
PF10491	30	NLS-binding and DNA-binding and dimerisation domains of Nrf1
PF10492	10	Nrf1 activator activation site binding domain
PF10493	36	Rough deal protein C-terminal region
PF10494	34	Serine-threonine protein kinase 19
PF10495	35	Pericentrin-AKAP-450 domain of centrosomal targeting protein
PF10496	33	SNARE-complex protein Syntaxin-18 N-terminus
PF10497	82	Zinc-finger domain of monoamine-oxidase A repressor R1
PF10498	41	Intra-flagellar transport protein 57
PF10500	23	Nuclear RNA-splicing-associated protein
PF10501	18	Ribosomal subunit 39S
PF10502	38	Signal peptidase, peptidase S26
PF10503	12	Esterase PHB depolymerase
PF10504	22	Protein of unknown function (DUF2452)
PF10505	23	NMDA receptor-regulated gene protein 2 C-terminus
PF10506	45	PDZ domain of MCC-2 bdg protein for Usher syndrome
PF10507	40	Transmembrane protein 65
PF10508	39	Proteasome non-ATPase 26S subunit
PF10509	87	Galactokinase galactose-binding signature
PF10510	47	Phosphatidylinositol-glycan biosynthesis class S protein
PF10511	7	Trappin protein transglutaminase binding domain
PF10512	26	Cell division cycle-associated protein 8
PF10513	170	Enhancer of polycomb-like
PF10514	12	Pro-apoptotic Bcl-2 protein, BAD
PF10515	47	Beta-amyloid precursor protein C-terminus
PF10516	39	SHNi-TPR
PF10517	41	Electron transfer DM13
PF10520	37	B domain of TMEM189, localisation domain
PF10521	22	Tti2 family
PF10522	17	RII binding domain
PF10523	183	BEN domain
PF10524	58	Nuclear factor I protein pre-N-terminus
PF10525	36	Engrailed homeobox C-terminal signature domain
PF10528	11	GLEYA domain
PF10529	45	Histidine-rich Calcium-binding repeat region
PF10531	41	SLBB domain
PF10533	33	Plant zinc cluster domain
PF10534	63	Connector enhancer of kinase suppressor of ras
PF10536	144	Plant mobile domain
PF10537	51	ATP-utilising chromatin assembly and remodelling N-terminal
PF10539	55	Development and cell death domain
PF10540	86	Munc13 (mammalian uncoordinated) homology domain
PF10541	57	Nuclear envelope localisation domain
PF10542	5	Vitelline membrane cysteine-rich region
PF10544	7	T5orf172 domain
PF10545	188	Alcohol dehydrogenase transcription factor Myb/SANT-like
PF10548	1	P22AR C-terminal domain
PF10551	748	MULE transposase domain
PF10553	1	MSV199 domain
PF10557	238	Cullin protein neddylation domain
PF10558	46	Mitochondrial 18 KDa protein (MTP18)
PF10559	67	Plug domain of Sec61p
PF10561	47	Uncharacterised protein family UPF0565
PF10562	21	Calmodulin-binding domain C0 of NMDA receptor NR1 subunit
PF10563	1	Putative carbonic anhydrase
PF10565	52	N-methyl D-aspartate receptor 2B3 C-terminus
PF10567	2	RNA-recognition motif
PF10568	74	Outer mitochondrial membrane transport complex protein
PF10570	9	Myelin-PO cytoplasmic C-term p65 binding region
PF10571	16	Uncharacterised protein family UPF0547
PF10572	16	Uncharacterised protein family UPF0556
PF10573	19	Uncharacterised protein family UPF0561
PF10574	17	Arp2/3-interacting proteins Arpin
PF10576	7	Iron-sulfur binding domain of endonuclease III
PF10577	57	Uncharacterised protein family UPF0560
PF10578	91	Seminal vesicle protein repeat
PF10579	19	Rapsyn N-terminal myristoylation and linker region
PF10580	12	Gap junction protein N-terminal region
PF10581	39	Synapsin N-terminal
PF10583	6	Involucrin of squamous epithelia N-terminus
PF10584	349	Proteasome subunit A N-terminal signature
PF10585	122	Ubiquitin-activating enzyme active site
PF10587	60	Eukaryotic elongation factor 1 beta central acidic region
PF10588	40	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF10589	47	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
PF10590	48	Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF10591	126	Secreted protein acidic and rich in cysteine Ca binding region
PF10595	37	Uncharacterised protein family UPF0564
PF10596	46	U6-snRNA interacting domain of PrP8
PF10597	45	U5-snRNA binding site 2 of PrP8
PF10598	43	RNA recognition motif of the spliceosomal PrP8
PF10599	10	Retro-transposon transporting motif
PF10600	51	PDZ-associated domain of NMDA receptors
PF10601	141	LITAF-like zinc ribbon domain
PF10602	97	26S proteasome subunit RPN7
PF10604	77	Polyketide cyclase / dehydrase and lipid transport
PF10606	28	Homer-binding domain of metabotropic glutamate receptor
PF10607	208	CTLH/CRA C-terminal to LisH motif domain
PF10608	62	Polyubiquitination (PEST) N-terminal domain of MAGUK
PF10609	157	NUBPL iron-transfer P-loop NTPase
PF10613	473	Ligated ion channel L-glutamate- and glycine-binding site
PF10615	18	Protein of unknown function (DUF2470)
PF10629	72	Protein of unknown function (DUF2475)
PF10630	20	Protein of unknown function (DUF2476)
PF10631	6	Protein of unknown function (DUF2477)
PF10637	35	Oxoglutarate and iron-dependent oxygenase degradation C-term
PF10638	2	Spindle body associated protein C-terminus
PF10639	36	Putative transmembrane family 234
PF10642	20	Mitochondrial import receptor subunit or translocase
PF10644	33	Misato Segment II tubulin-like domain
PF10645	4	Carbohydrate binding
PF10650	30	Putative zinc-finger domain
PF10660	36	Iron-containing outer mitochondrial membrane protein N-terminus
PF10662	1	Ethanolamine utilisation - propanediol utilisation
PF10664	5	Cyanobacterial and plastid NDH-1 subunit M
PF10672	11	S-adenosylmethionine-dependent methyltransferase
PF10674	8	Protein of unknown function (DUF2488)
PF10675	1	Protein of unknown function (DUF2489)
PF10680	4	RNA polymerase I specific transcription initiation factor
PF10681	8	Chaperone for protein-folding within the ER, fungal
PF10685	6	Stress-induced bacterial acidophilic repeat motif
PF10692	1	Protein of unknown function (DUF2498)
PF10693	10	Protein of unknown function (DUF2499)
PF10698	1	Protein of unknown function (DUF2505)
PF10699	18	Male gamete fusion factor
PF10714	8	Late embryogenesis abundant protein 18
PF10716	4	NADH dehydrogenase transmembrane subunit
PF10731	1	Thrombin inhibitor from mosquito
PF10734	1	Protein of unknown function (DUF2523)
PF10744	38	Mediator of RNA polymerase II transcription subunit 1
PF10775	7	ATP synthase complex subunit h
PF10780	25	39S ribosomal protein L53/MRP-L53
PF10785	22	NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit
PF10791	5	Mitochondrial F1-F0 ATP synthase subunit F of fungi
PF10806	3	SAM35, subunit of SAM coomplex
PF10843	3	Respiratory growth induced protein 1
PF10846	2	Protein of unknown function (DUF2722)
PF10853	18	Protein of unknown function (DUF2650)
PF10856	22	Protein of unknown function (DUF2678)
PF10863	2	Nucleolar protein 19
PF10868	8	Cysteine-rich antifungal protein 2, defensin-like
PF10873	14	Cysteine and tyrosine-rich protein 1
PF10890	11	Cytochrome b-c1 complex subunit 8
PF10906	3	MIOREX complex component 7
PF10908	1	Protein of unknown function (DUF2778)
PF10912	25	Protein of unknown function (DUF2700)
PF10914	63	Protein of unknown function (DUF2781)
PF10917	16	Fungus-induced protein
PF10927	1	Protein of unknown function (DUF2738)
PF10937	11	Ribosomal protein S36, mitochondrial
PF10944	1	Protein of unknown function (DUF2630)
PF10950	7	Organ specific protein
PF10961	32	Selenoprotein SelK_SelG
PF10974	6	Protein of unknown function (DUF2804)
PF10979	1	Protein of unknown function (DUF2786)
PF10988	32	Putative auto-transporter adhesin, head GIN domain
PF10994	7	Protein of unknown function (DUF2817)
PF10996	166	Beta-Casp domain
PF10998	24	Protein of unknown function (DUF2838)
PF10999	1	Protein of unknown function (DUF2839)
PF11001	6	Protein of unknown function (DUF2841)
PF11002	8	RFPL defining motif (RDM)
PF11016	10	Protein of unknown function (DUF2854)
PF11017	1	Protein of unknown function (DUF2855)
PF11018	14	Pupal cuticle protein C1
PF11020	1	Domain of unknown function (DUF2610)
PF11022	6	ATP synthase subunit K
PF11027	25	Protein of unknown function (DUF2615)
PF11028	21	Protein of unknown function (DUF2723)
PF11029	19	DAZ associated protein 2 (DAZAP2)
PF11032	14	ApoM domain
PF11034	5	Glucose-repressible protein Grg1
PF11035	15	Small nuclear RNA activating complex subunit 2, SNAP190 Myb
PF11037	10	Insulin-resistance promoting peptide in skeletal muscle
PF11051	227	Mannosyltransferase putative
PF11055	2	Glucose signalling factor 2
PF11057	40	Cortexin of kidney
PF11066	2	Protein of unknown function (DUF2867)
PF11069	31	Protein of unknown function (DUF2870)
PF11078	1	Optomotor-blind protein N-terminal region
PF11092	7	Neuronal protein 3.1 (p311)
PF11093	4	Mitochondrial export protein Som1
PF11095	26	Gem-associated protein 7 (Gemin7)
PF11105	4	Arthropod cardioacceleratory peptide 2a
PF11107	26	Fanconi anemia group F protein (FANCF)
PF11109	11	Orexigenic neuropeptide Qrfp/P518
PF11111	15	Centromere protein M (CENP-M)
PF11124	2	Inorganic phosphate transporter Pho86
PF11145	25	Protein of unknown function (DUF2921)
PF11152	17	Cofactor assembly of complex C subunit B, CCB2/CCB4
PF11160	5	Hypervirulence associated proteins TUDOR domain
PF11175	5	Protein of unknown function (DUF2961)
PF11176	26	Translation machinery-associated protein 16
PF11179	3	Protein of unknown function (DUF2967)
PF11204	36	Protein of unknown function (DUF2985)
PF11209	1	Protein of unknown function (DUF2993)
PF11210	3	Protein of unknown function (DUF2996)
PF11214	2	Mediator complex subunit 2
PF11221	43	Subunit 21 of Mediator complex
PF11223	5	Protein of unknown function (DUF3020)
PF11229	23	Focadhesin
PF11232	37	Mediator complex subunit 25 PTOV activation and synapsin 2
PF11233	1	Protein of unknown function (DUF3035)
PF11235	9	Mediator complex subunit 25 synapsin 1
PF11236	1	Protein of unknown function (DUF3037)
PF11244	9	Mediator complex subunit 25 C-terminal NR box-containing
PF11250	41	Fantastic Four meristem regulator
PF11255	8	Protein of unknown function (DUF3054)
PF11259	2	Protein of unknown function (DUF3060)
PF11261	45	Interferon regulatory factor 2-binding protein zinc finger
PF11262	59	Transcription factor/nuclear export subunit protein 2
PF11264	9	Thylakoid formation protein
PF11265	30	Mediator complex subunit 25 von Willebrand factor type A
PF11267	10	Domain of unknown function (DUF3067)
PF11274	6	Protein of unknown function (DUF3074)
PF11277	22	Mediator complex subunit 24 N-terminal
PF11282	8	Protein of unknown function (DUF3082)
PF11303	14	Protein of unknown function (DUF3105)
PF11309	2	Protein of unknown function (DUF3112)
PF11312	5	Putative SAM-dependent methyltransferase
PF11315	25	Mediator complex subunit 30
PF11317	7	Protein of unknown function (DUF3119)
PF11321	2	Protein of unknown function (DUF3123)
PF11326	37	Protein of unknown function (DUF3128)
PF11327	2	Egh16-like virulence factor
PF11331	36	Probable zinc-ribbon domain
PF11338	2	Protein of unknown function (DUF3140)
PF11341	5	Protein of unknown function (DUF3143)
PF11347	5	Protein of unknown function (DUF3148)
PF11356	1	Type II secretion system protein C
PF11357	61	Cell cycle regulatory protein
PF11360	8	Protein of unknown function (DUF3110)
PF11362	5	Protein of unknown function (DUF3161)
PF11365	82	Protein SOGA
PF11369	6	Protein of unknown function (DUF3160)
PF11371	6	Protein of unknown function (DUF3172)
PF11374	11	Protein of unknown function (DUF3176)
PF11378	3	Protein of unknown function (DUF3181)
PF11380	58	Stealth protein CR2, conserved region 2
PF11387	1	Protein of unknown function (DUF2795)
PF11397	92	Glycosyltransferase (GlcNAc)
PF11403	2	Yeast metallothionein
PF11404	21	Potassium voltage-gated channel
PF11408	2	Sgs1 RecQ helicase
PF11409	20	Smad anchor for receptor activation (SARA)
PF11411	24	DNA ligase IV
PF11413	36	Hypoxia-inducible factor-1
PF11414	55	Adenomatous polyposis coli tumour suppressor protein
PF11416	34	Syntaxin-5 N-terminal, Sly1p-binding domain
PF11421	11	ATP synthase F1 beta subunit
PF11427	18	Tc3 transposase
PF11430	4	Programmed cell death activator EGL-1
PF11435	2	RNA binding protein She2p
PF11437	5	Vanadium-binding protein 2
PF11440	1	DNA alpha-glucosyltransferase
PF11443	49	Domain of unknown function (DUF2828)
PF11460	8	Protein of unknown function (DUF3007)
PF11461	45	Rab interacting lysosomal protein
PF11464	42	Rabenosyn Rab binding domain
PF11465	13	Natural killer cell receptor 2B4
PF11466	7	Prion-like protein Doppel
PF11467	37	Lens epithelium-derived growth factor (LEDGF)
PF11470	35	TUG ubiquitin-like domain
PF11488	22	Transcriptional regulatory protein LGE1
PF11489	8	Altered inheritance of mitochondria protein 21
PF11493	7	Thylakoid soluble phosphoprotein TSP9
PF11496	5	Class II histone deacetylase complex subunits 2 and 3
PF11498	4	Transcriptional activator LAG-3
PF11500	3	Spindle pole body formation-associated protein
PF11502	28	B-cell lymphoma 9 protein
PF11503	3	Protein of unknown function (DUF3215)
PF11510	29	Fanconi Anaemia group E protein FANCE
PF11515	45	Mouse development and cellular proliferation protein Cullin-7
PF11517	2	Nuclear abundant poly(A) RNA-bind protein 2 (Nab2)
PF11521	28	C-terminal general transcription factor TFIIE alpha
PF11522	4	Yeast phosphatidylinositol-4-OH kinase Pik1
PF11523	30	Protein of unknown function (DUF3223)
PF11526	7	Subunit of cleavage factor IA Pcf11
PF11527	93	The ARF-like 2 binding protein BART
PF11531	22	Coactivator-associated arginine methyltransferase 1 N terminal
PF11532	8	Heterogeneous nuclear ribonucleoprotein M
PF11538	23	Snurportin1
PF11539	14	Protein of unknown function (DUF3228)
PF11540	44	Cytoplasmic dynein 1 intermediate chain 2
PF11542	1	Mitochondrial division protein 1
PF11543	35	Nuclear pore localisation protein NPL4
PF11544	3	Spindle pole body component Spc42p
PF11547	22	E3 ubiquitin ligase EDD
PF11548	34	Protein-tyrosine phosphatase receptor IA-2
PF11549	2	Protein transport protein SEC31
PF11555	27	EGFR receptor inhibitor Mig-6
PF11559	37	Afadin- and alpha -actinin-Binding
PF11560	24	Lamina-associated polypeptide 2 alpha
PF11561	2	Single strand annealing-weakened 1
PF11563	2	Protoglobin
PF11566	52	PI31 proteasome regulator N-terminal
PF11568	22	Mediator complex subunit 29
PF11569	33	Homeodomain leucine-zipper encoding, Homez
PF11570	1	Coiled-coil receptor-binding R-domain of colicin E2
PF11571	35	Mediator complex subunit 27
PF11573	44	Mediator complex subunit 23
PF11577	27	NF-kappa-B essential modulator NEMO
PF11578	5	Protein of unknown function (DUF3237)
PF11581	2	Antagonist of EGFR signalling, Argos
PF11587	8	Major prion protein bPrPp - N terminal
PF11591	3	Ferredoxin chloroplastic transit peptide
PF11593	2	Mediator complex subunit 3 fungal
PF11594	21	Mediator complex subunit 28
PF11595	9	Protein of unknown function (DUF3245)
PF11597	43	Mediator complex subunit 13 N-terminal
PF11598	45	Cartilage oligomeric matrix protein
PF11600	14	Chromatin assembly factor 1 complex p150 subunit, N-terminal
PF11601	50	Shal-type voltage-gated potassium channels, N-terminal
PF11603	18	Regulatory protein Sir1
PF11605	36	Vacuolar protein sorting protein 36 Vps36
PF11608	21	Limkain b1
PF11610	1	Scaffold protein Ste5, Fus3-binding region
PF11615	1	CCR4-associated factor 4
PF11616	34	WD repeat binding protein EZH2
PF11617	23	Putative metal-binding motif
PF11618	40	First C2 domain of RPGR-interacting protein 1
PF11619	1	Transcription factor P53 - C terminal domain
PF11620	19	GA-binding protein alpha chain
PF11623	5	NAD(P)H dehydrogenase subunit S
PF11626	14	TRF2-interacting telomeric protein/Rap1 - C terminal domain
PF11627	34	Nuclear factor hnRNPA1
PF11628	25	T-cell surface glycoprotein CD3 zeta chain
PF11629	32	C terminal SARAH domain of Mst1
PF11635	23	Mediator complex subunit 16
PF11636	7	Troponin I residues 1-32
PF11640	24	Telomere-length maintenance and DNA damage repair
PF11648	51	C-terminal domain of RIG-I
PF11652	28	FAM167
PF11654	4	Non-classical export protein 1
PF11669	53	WW domain-binding protein 1
PF11671	4	Complementary sex determiner protein
PF11690	15	Protein of unknown function (DUF3287)
PF11693	2	Protein of unknown function (DUF2990)
PF11696	7	Protein of unknown function (DUF3292)
PF11697	3	Protein of unknown function (DUF3293)
PF11698	48	V-ATPase subunit H
PF11699	21	Mif2/CENP-C like
PF11700	12	Vacuole effluxer Atg22 like
PF11701	42	Myosin-binding striated muscle assembly central
PF11702	3	Protein of unknown function (DUF3295)
PF11704	49	Vesicle coat protein involved in Golgi to plasma membrane transport
PF11705	51	DNA-directed RNA polymerase III subunit Rpc31
PF11707	40	Ribosome 60S biogenesis N-terminal
PF11708	53	Pre-mRNA splicing Prp18-interacting factor
PF11709	7	Mitochondrial ribosomal protein subunit
PF11710	8	G protein-coupled glucose receptor regulating Gpa2
PF11711	7	Inner membrane protein import complex subunit Tim54
PF11712	39	Endoplasmic reticulum-based factor for assembly of V-ATPase
PF11715	58	Nucleoporin Nup120/160
PF11716	1	Mycothiol maleylpyruvate isomerase N-terminal domain
PF11717	197	RNA binding activity-knot of a chromodomain
PF11718	51	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
PF11719	24	DNA replication and checkpoint protein
PF11720	3	Peptidase inhibitor I78 family
PF11721	107	Malectin domain
PF11722	43	CCCH zinc finger in TRM13 protein
PF11731	1	Pathogenicity locus
PF11732	49	Transcription- and export-related complex subunit
PF11735	20	Cryptococcal mannosyltransferase 1
PF11739	1	Dicarboxylate transport
PF11743	1	Protein of unknown function (DUF3301)
PF11744	64	Aluminium activated malate transporter
PF11754	21	Velvet factor
PF11759	90	Keratin-associated matrix
PF11760	1	Cobalamin synthesis G N-terminal
PF11761	1	Cobalamin biosynthesis central region
PF11763	4	Cell-wall adhesin ligand-binding C-terminal
PF11764	37	COMPASS (Complex proteins associated with Set1p) component N
PF11765	3	Hyphally regulated cell wall protein N-terminal
PF11766	2	Cell-wall agglutinin N-terminal ligand-sugar binding
PF11767	6	Histone lysine methyltransferase SET associated
PF11768	26	WD repeat-containing and planar cell polarity effector protein Fritz
PF11770	6	GRB2-binding adapter (GAPT)
PF11771	10	Protein of unknown function (DUF3314)
PF11778	4	Septation initiation
PF11779	52	Small subunit of serine palmitoyltransferase-like
PF11781	30	Zinc-finger of RNA-polymerase I-specific TFIIB, Rrn7
PF11785	5	Aft1 osmotic stress response (OSM) domain
PF11786	3	Aft1 HRA domain
PF11787	2	Aft1 HRR domain
PF11788	31	39S mitochondrial ribosomal protein L46
PF11789	54	Zinc-finger of the MIZ type in Nse subunit
PF11790	13	Glycosyl hydrolase catalytic core
PF11791	1	Aconitate B N-terminal domain
PF11793	40	FANCL C-terminal domain
PF11798	29	IMS family HHH motif
PF11799	147	impB/mucB/samB family C-terminal domain
PF11801	2	Tom37 C-terminal domain
PF11802	19	Centromere-associated protein K
PF11803	13	UDP-glucuronate decarboxylase N-terminal
PF11805	7	Protein of unknown function (DUF3326)
PF11807	10	Domain of unknown function (DUF3328)
PF11808	1	Phosphate regulon sensor protein PhoR
PF11815	43	Domain of unknown function (DUF3336)
PF11816	42	Domain of unknown function (DUF3337)
PF11817	53	Foie gras liver health family 1
PF11818	1	C-terminal domain of tail specific protease (DUF3340)
PF11819	65	Domain of unknown function (DUF3338)
PF11820	51	Protein of unknown function (DUF3339)
PF11822	30	Domain of unknown function (DUF3342)
PF11825	31	Nuclear/hormone receptor activator site AF-1
PF11830	31	Domain of unknown function (DUF3350)
PF11831	45	pre-mRNA splicing factor component
PF11833	32	Protein CHAPERONE-LIKE PROTEIN OF POR1-like
PF11834	68	KHA, dimerisation domain of potassium ion channel
PF11835	124	RRM-like domain
PF11837	11	Domain of unknown function (DUF3357)
PF11838	306	ERAP1-like C-terminal domain
PF11839	1	Alanine-zipper, major outer membrane lipoprotein
PF11841	58	Domain of unknown function (DUF3361)
PF11851	52	Domain of unknown function (DUF3371)
PF11852	8	Domain of unknown function (DUF3372)
PF11855	1	Protein of unknown function (DUF3375)
PF11857	57	Domain of unknown function (DUF3377)
PF11861	47	Domain of unknown function (DUF3381)
PF11864	38	Domain of unknown function (DUF3384)
PF11865	55	Domain of unknown function (DUF3385)
PF11875	43	Domain of unknown function (DUF3395)
PF11878	94	Domain of unknown function (DUF3398)
PF11879	49	Domain of unknown function (DUF3399)
PF11881	41	C-terminal domain of SPAR protein
PF11882	95	Domain of unknown function (DUF3402)
PF11883	83	Domain of unknown function (DUF3403)
PF11885	10	Protein of unknown function (DUF3405)
PF11886	24	Translocase of chloroplast 159/132, membrane anchor domain
PF11891	51	Protein RETICULATA-related
PF11894	56	Nuclear pore complex scaffold, nucleoporins 186/192/205
PF11898	1	Domain of unknown function (DUF3418)
PF11899	10	Protein of unknown function (DUF3419)
PF11900	24	Domain of unknown function (DUF3420)
PF11901	52	Protein of unknown function (DUF3421)
PF11902	1	Protein of unknown function (DUF3422)
PF11904	115	GPCR-chaperone
PF11905	10	Domain of unknown function (DUF3425)
PF11909	5	NADH-quinone oxidoreductase cyanobacterial subunit N
PF11910	5	Cyanobacterial and plant NDH-1 subunit O
PF11911	23	Protein of unknown function (DUF3429)
PF11912	56	Protein of unknown function (DUF3430)
PF11913	10	Protein of unknown function (DUF3431)
PF11914	12	Domain of unknown function (DUF3432)
PF11915	10	Protein of unknown function (DUF3433)
PF11916	47	Vacuolar protein 14 C-terminal Fig4p binding
PF11917	2	Protein of unknown function (DUF3435)
PF11918	49	N-terminal domain of Peptidase_S41 in eukaryotic IRBP
PF11919	48	Domain of unknown function (DUF3437)
